(2015-05-29 13:58:51,749) [INFO] -Application running...

  (2015-05-29 14:02:34,591) [INFO] -Application running...

  (2015-05-29 14:04:17,236) [INFO] -Application running...

  (2015-05-29 14:04:40,971) [INFO] -Application running...

  (2015-05-29 14:04:42,617) [WARN] -invalid order:a
  (2015-05-29 14:05:47,883) [INFO] -Application running...

  (2015-05-29 14:05:51,423) [INFO] -更新项不存在
  (2015-05-29 14:06:07,608) [INFO] -search "fangch"
  (2015-05-29 14:06:07,613) [INFO] -Service permitted
  (2015-05-29 14:06:07,613) [INFO] -failed search

  (2015-05-29 14:06:12,785) [INFO] -search "方程"
  (2015-05-29 14:06:12,785) [INFO] -Service permitted
  (2015-05-29 14:06:12,786) [INFO] -Successful search

  (2015-05-29 14:06:15,411) [INFO] -Application exits.

  
